日期,商品名稱,身份別,多方交易口數,多方交易契約金額(千元),空方交易口數,空方交易契約金額(千元),多空交易口數淨額,多空交易契約金額淨額(千元),多方未平倉口數,多方未平倉契約金額(千元),空方未平倉口數,空方未平倉契約金額(千元),多空未平倉口數淨額,多空未平倉契約金額淨額(千元)
2023/10/05,臺股期貨,自營商,9454,30962265,10182,33384994,-728,-2422729,5789,19054413,6822,22453791,-1033,-3399378
2023/10/05,臺股期貨,投信,427,1405783,147,479393,280,926390,14531,47827333,11362,37396887,3169,10430446
2023/10/05,臺股期貨,外資及陸資,65552,214659512,61217,200439901,4335,14219611,25429,83699092,28023,92235864,-2594,-8536772
2023/10/06,臺股期貨,自營商,7647,25205559,7400,24406442,247,799117,5970,19735246,6885,22759158,-915,-3023912
2023/10/06,臺股期貨,投信,315,1039041,145,479299,170,559741,14470,47832032,11131,36794634,3339,11037398
2023/10/06,臺股期貨,外資及陸資,51819,170849605,53281,175614750,-1462,-4765145,24742,81789210,28800,95202225,-4058,-13413015
2023/10/11,臺股期貨,自營商,14821,49395385,14701,49005982,120,389403,5599,18716980,5968,19950349,-369,-1233369
2023/10/11,臺股期貨,投信,460,1537465,10,33425,450,1504040,14645,48955324,10856,36289437,3789,12665887
2023/10/11,臺股期貨,外資及陸資,69282,230687177,69256,230598577,26,88601,25556,85431756,29588,98907904,-4032,-13476148
2023/10/12,臺股期貨,自營商,8654,29014170,9003,30205401,-349,-1191231,6061,20423901,6727,22668956,-666,-2245055
2023/10/12,臺股期貨,投信,223,751399,198,667162,25,84237,14449,48687374,10635,35835696,3814,12851678
2023/10/12,臺股期貨,外資及陸資,51726,173393557,50307,168581545,1419,4812013,31391,105782064,32268,108732358,-877,-2950294
2023/10/13,臺股期貨,自營商,11812,39631844,10535,35346955,1277,4284888,6723,22552102,6075,20382887,648,2169215
2023/10/13,臺股期貨,投信,232,779139,328,1101257,-96,-322118,14462,48508984,10744,36038085,3718,12470899
2023/10/13,臺股期貨,外資及陸資,55764,187089552,55355,185745726,409,1343826,32482,108974620,32950,110527255,-468,-1552635
2023/10/16,臺股期貨,自營商,15488,51629254,15700,52323916,-212,-694662,8056,26830225,7533,25088834,523,1741391
2023/10/16,臺股期貨,投信,13111,43646208,13611,45309907,-500,-1663698,14137,47091823,10919,36377233,3218,10714590
2023/10/16,臺股期貨,外資及陸資,92748,309121931,93714,312381778,-966,-3259847,31454,104783640,32874,109506622,-1420,-4722982
2023/10/17,臺股期貨,自營商,13971,46685260,15416,51497214,-1445,-4811954,6050,20150346,7025,23407551,-975,-3257205
2023/10/17,臺股期貨,投信,9545,31866169,9411,31412484,134,453685,14384,47956675,11032,36789398,3352,11167277
2023/10/17,臺股期貨,外資及陸資,73899,246968476,73706,246347457,193,621019,30089,100315746,31315,104388760,-1226,-4073014
2023/10/18,臺股期貨,自營商,23795,78789845,22597,74839492,1198,3950353,3490,11495278,5104,16809608,-1614,-5314330
