日期,商品名稱,身份別,多方交易口數,多方交易契約金額(千元),空方交易口數,空方交易契約金額(千元),多空交易口數淨額,多空交易契約金額淨額(千元),多方未平倉口數,多方未平倉契約金額(千元),空方未平倉口數,空方未平倉契約金額(千元),多空未平倉口數淨額,多空未平倉契約金額淨額(千元)
2023/10/30,小型臺指期貨,自營商,10023,8091800,8976,7246427,1047,845373,3462,2797200,10179,8221910,-6717,-5424710
2023/10/30,小型臺指期貨,投信,0,0,0,0,0,0,170,137360,14,11312,156,126048
2023/10/30,小型臺指期貨,外資及陸資,98903,79872417,100067,80792796,-1164,-920379,2294,1853539,6614,5344167,-4320,-3490628
2023/10/31,小型臺指期貨,自營商,11031,8886507,14009,11281175,-2978,-2394668,5812,4648513,14979,11979963,-9167,-7331450
2023/10/31,小型臺指期貨,投信,0,0,0,0,0,0,170,135975,14,11198,156,124777
2023/10/31,小型臺指期貨,外資及陸資,101802,82109487,111056,89554360,-9254,-7444874,1834,1466878,15408,12324204,-13574,-10857326
2023/11/01,小型臺指期貨,自營商,12586,10102899,11932,9576048,654,526851,4166,3343233,12197,9786345,-8031,-6443112
2023/11/01,小型臺指期貨,投信,0,0,0,0,0,0,170,136425,14,11235,156,125190
2023/11/01,小型臺指期貨,外資及陸資,95744,76843692,87782,70440720,7962,6402971,4005,3214086,9752,7826005,-5747,-4611919
2023/11/02,小型臺指期貨,自營商,15392,12516252,12389,10068585,3003,2447667,6416,5258656,11572,9479733,-5156,-4221077
2023/11/02,小型臺指期貨,投信,4,3278,2,1633,2,1645,170,139307,12,9833,158,129474
2023/11/02,小型臺指期貨,外資及陸資,98885,80291047,73080,59310017,25805,20981030,10571,8662490,1825,1495457,8746,7167033
2023/11/03,小型臺指期貨,自營商,9603,7909755,8955,7377470,648,532285,7569,6249815,12469,10291653,-4900,-4041838
2023/11/03,小型臺指期貨,投信,3,2477,0,0,3,2477,170,140369,9,7431,161,132938
2023/11/03,小型臺指期貨,外資及陸資,89428,73668277,84319,69443427,5109,4224850,12049,9948817,2178,1798331,9871,8150486
2023/11/06,小型臺指期貨,自營商,12511,10408533,12506,10403651,5,4882,9083,7568800,14386,11986961,-5303,-4418161
2023/11/06,小型臺指期貨,投信,0,0,0,0,0,0,170,141721,9,7503,161,134218
2023/11/06,小型臺指期貨,外資及陸資,86630,72041568,78966,65656322,7664,6385246,15344,12791249,1577,1314358,13767,11476891
