日期,賣權成交量,買權成交量,買賣權成交量比率%,賣權未平倉量,買權未平倉量,買賣權未平倉量比率%,"<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01//EN"" ""http://www.w3.org/TR/html4/strict.dtd"">"
156863.0,134671.0,116.48,516984.0,722296.0,71.58,,
162020.0,180799.0,89.61,507516.0,714522.0,71.03,,
125245.0,176641.0,70.9,503818.0,716153.0,70.35,,
119058.0,166027.0,71.71,502651.0,730002.0,68.86,,
70308.0,117907.0,59.63,504618.0,727718.0,69.34,,
94680.0,143763.0,65.86,495683.0,730794.0,67.83,,
99513.0,168556.0,59.04,481469.0,733312.0,65.66,,
57605.0,93623.0,61.53,463619.0,722143.0,64.2,,
106648.0,174437.0,61.14,451870.0,716586.0,63.06,,
149231.0,232885.0,64.08,392380.0,625102.0,62.77,,
137265.0,149060.0,92.09,361493.0,594289.0,60.83,,
153344.0,182036.0,84.24,353181.0,561127.0,62.94,,
144762.0,180339.0,80.27,351239.0,530393.0,66.22,,
158609.0,210453.0,75.37,351832.0,491488.0,71.59,,
107688.0,145067.0,74.23,328561.0,480591.0,68.37,,
179195.0,202264.0,88.59,322737.0,457157.0,70.6,,
240755.0,333609.0,72.17,287212.0,413212.0,69.51,,
399664.0,289476.0,138.06,244139.0,323011.0,75.58,,
206926.0,190249.0,108.77,402197.0,689742.0,58.31,,
336128.0,257223.0,130.68,382690.0,663828.0,57.65,,
108483.0,157700.0,68.79,416720.0,615586.0,67.69,,
223606.0,233936.0,95.58,418224.0,612247.0,68.31,,
207679.0,272394.0,76.24,439629.0,587294.0,74.86,,
109698.0,136865.0,80.15,459146.0,562799.0,81.58,,
110637.0,111428.0,99.29,460478.0,562488.0,81.86,,
