name,start,end,n_days,cagr_pct,ann_vol_pct,sharpe,max_dd_pct,t_stat,exposure_pct,n_trades,trades_per_yr,win_rate_pct,avg_trade_pct,profit_factor,total_cost_pct
tsmom_120_ls [1998-12-28..2007-12-31],1998-12-28,2007-12-31,2274,-2.44,27.88,0.051,-58.74,0.15,100.0,99,10.8,39.4,-0.04,0.98,9.5
tsmom_120_ls [2008-01-01..2011-12-31],2008-01-02,2011-12-30,998,11.15,28.82,0.511,-38.15,1.02,100.0,25,6.2,52.0,2.293,2.14,2.89
tsmom_120_ls [2012-01-01..2015-12-31],2012-01-02,2015-12-31,988,-7.44,14.0,-0.482,-37.87,-0.96,100.0,35,8.8,17.1,-0.728,0.58,2.86
tsmom_120_ls [2016-01-01..2019-12-31],2016-01-04,2019-12-31,979,7.72,12.54,0.656,-24.7,1.3,100.0,18,4.6,27.8,2.069,2.81,1.96
tsmom_120_ls [2020-01-01..2022-12-31],2020-01-02,2022-12-30,735,-2.61,21.09,-0.019,-35.24,-0.03,100.0,23,7.8,39.1,0.337,1.13,1.27
tsmom_120_ls [2023-01-01..2026-07-31],2023-01-03,2026-07-31,862,28.48,23.69,1.177,-27.77,2.2,100.0,15,4.3,40.0,8.203,6.02,0.9
tsmom_250_ls [1999-06-28..2007-12-31],1999-06-28,2007-12-31,2144,-0.64,28.19,0.119,-64.78,0.35,100.0,51,5.9,41.2,0.227,1.1,6.91
tsmom_250_ls [2008-01-01..2011-12-31],2008-01-02,2011-12-30,998,-1.38,29.03,0.098,-52.41,0.2,100.0,16,4.0,43.8,0.009,1.0,2.55
tsmom_250_ls [2012-01-01..2015-12-31],2012-01-02,2015-12-31,988,0.66,14.13,0.117,-24.27,0.23,100.0,19,4.8,26.3,0.504,1.27,2.34
tsmom_250_ls [2016-01-01..2019-12-31],2016-01-04,2019-12-31,979,-0.65,13.38,0.019,-28.48,0.04,100.0,26,6.6,34.6,0.062,1.04,2.17
tsmom_250_ls [2020-01-01..2022-12-31],2020-01-02,2022-12-30,735,13.46,20.66,0.715,-29.56,1.23,100.0,8,2.7,50.0,7.89,3.01,0.96
tsmom_250_ls [2023-01-01..2026-07-31],2023-01-03,2026-07-31,862,18.46,23.58,0.838,-32.6,1.56,100.0,26,7.5,53.8,3.364,3.5,1.1
rsi2_lo [1999-04-21..2007-12-31],1999-04-21,2007-12-31,2194,-0.29,10.01,0.022,-20.91,0.06,10.0,48,5.4,62.5,0.113,1.13,2.47
rsi2_lo [2008-01-01..2011-12-31],2008-01-02,2011-12-30,998,0.61,9.2,0.111,-14.67,0.22,11.6,27,6.7,70.4,0.151,1.19,1.31
rsi2_lo [2012-01-01..2015-12-31],2012-01-02,2015-12-31,988,5.04,4.72,1.063,-5.59,2.12,14.1,33,8.3,81.8,0.524,2.77,1.37
rsi2_lo [2016-01-01..2019-12-31],2016-01-04,2019-12-31,979,1.85,6.71,0.307,-10.15,0.61,15.1,37,9.4,78.4,0.242,1.58,1.35
rsi2_lo [2020-01-01..2022-12-31],2020-01-02,2022-12-30,735,7.99,7.56,1.055,-6.0,1.82,10.2,24,8.1,70.8,0.776,4.49,0.53
rsi2_lo [2023-01-01..2026-07-31],2023-01-03,2026-07-31,862,12.75,10.68,1.177,-8.47,2.19,13.1,36,10.4,86.1,1.028,7.8,0.62
rsi2_ls [1999-04-21..2007-12-31],1999-04-21,2007-12-31,2194,-4.09,13.25,-0.249,-36.87,-0.74,18.0,80,9.0,63.7,-0.319,0.77,4.47
rsi2_ls [2008-01-01..2011-12-31],2008-01-02,2011-12-30,998,5.33,13.13,0.46,-15.91,0.92,18.3,44,10.9,75.0,0.658,1.85,2.17
rsi2_ls [2012-01-01..2015-12-31],2012-01-02,2015-12-31,988,1.28,6.11,0.239,-12.66,0.48,22.1,44,11.0,72.7,0.11,1.18,1.93
rsi2_ls [2016-01-01..2019-12-31],2016-01-04,2019-12-31,979,2.82,6.95,0.436,-10.15,0.87,18.1,44,11.1,77.3,0.278,1.72,1.6
rsi2_ls [2020-01-01..2022-12-31],2020-01-02,2022-12-30,735,3.21,9.34,0.385,-11.84,0.66,17.1,33,11.1,63.6,0.25,1.43,0.83
rsi2_ls [2023-01-01..2026-07-31],2023-01-03,2026-07-31,862,8.18,11.31,0.752,-12.27,1.4,16.6,39,11.2,79.5,0.624,2.34,0.7
boll_20_2_ls [1999-04-21..2007-12-31],1999-04-21,2007-12-31,2194,-4.48,14.8,-0.236,-48.93,-0.7,20.1,24,2.7,45.8,-1.387,0.59,1.94
boll_20_2_ls [2008-01-01..2011-12-31],2008-01-02,2011-12-30,998,0.87,10.85,0.134,-25.65,0.27,16.2,13,3.2,76.9,0.42,1.2,0.89
boll_20_2_ls [2012-01-01..2015-12-31],2012-01-02,2015-12-31,988,-0.31,5.2,-0.034,-9.88,-0.07,15.0,11,2.8,63.6,-0.129,0.86,0.69
boll_20_2_ls [2016-01-01..2019-12-31],2016-01-04,2019-12-31,979,2.35,5.69,0.437,-8.86,0.87,17.0,14,3.5,85.7,0.749,2.31,0.74
boll_20_2_ls [2020-01-01..2022-12-31],2020-01-02,2022-12-30,735,2.06,12.78,0.223,-25.92,0.38,18.2,12,4.0,75.0,0.636,1.43,0.4
boll_20_2_ls [2023-01-01..2026-07-31],2023-01-03,2026-07-31,862,4.62,11.87,0.44,-14.94,0.82,17.5,13,3.7,84.6,1.188,2.67,0.31
tom_1_3 [1998-07-22..2007-12-31],1998-07-22,2007-12-31,2394,5.56,12.29,0.502,-24.17,1.56,19.0,114,11.8,56.1,0.517,1.47,5.26
tom_1_3 [2008-01-01..2011-12-31],2008-01-02,2011-12-30,998,-7.32,13.11,-0.514,-38.02,-1.03,19.2,48,11.9,60.4,-0.151,0.91,1.95
tom_1_3 [2012-01-01..2015-12-31],2012-01-02,2015-12-31,988,3.51,6.41,0.57,-10.06,1.14,19.4,48,12.0,64.6,0.222,1.42,1.69
tom_1_3 [2016-01-01..2019-12-31],2016-01-04,2019-12-31,979,-2.61,6.31,-0.388,-13.85,-0.77,19.6,48,12.2,54.2,-0.316,0.64,1.45
tom_1_3 [2020-01-01..2022-12-31],2020-01-02,2022-12-30,735,13.47,7.73,1.675,-13.96,2.88,19.6,36,12.1,66.7,0.994,2.5,0.79
